TimeStamp,Iteration[#],Trgt_Address[Byte],Brst_size[#beats],WrittenWords[512b],RD_BW[Gbit/s],WR_BW[Gbit/s],faults[#],first_faulty_address[byte],PowOfTwoBytes
2021-11-15,1,524288,128,8192,52.0623,78.7503,0,0,19
2021-11-15,2,524288,128,8192,51.4169,78.7503,0,0,19
2021-11-15,1,524288,64,8192,39.0677,77.5574,0,0,19
2021-11-15,2,524288,64,8192,39.1962,77.5574,0,0,19
2021-11-15,1,524288,32,8192,26.2996,75.2768,0,0,19
2021-11-15,2,524288,32,8192,26.287,75.2768,0,0,19
2021-11-15,1,524288,16,8192,16.5683,71.0957,0,0,19
2021-11-15,2,524288,16,8192,16.5679,71.0957,0,0,19
2021-11-15,1,524288,8,8192,8.87336,63.9875,0,0,19
2021-11-15,2,524288,8,8192,8.87,63.9875,0,0,19
2021-11-15,1,524288,4,8192,4.72539,53.3247,0,0,19
2021-11-15,2,524288,4,8192,4.72836,53.3247,0,0,19
2021-11-15,1,524288,2,8192,2.5104,39.9951,0,0,19
2021-11-15,2,524288,2,8192,2.50914,39.9951,0,0,19
2021-11-15,1,524288,1,8192,1.25521,26.6678,0,0,19
2021-11-15,2,524288,1,8192,1.25514,26.6678,0,0,19
2021-11-15,1,1048576,4096,16384,76.9608,79.9512,0,0,20
2021-11-15,2,1048576,4096,16384,76.9608,79.9512,0,0,20
2021-11-15,1,1048576,2048,16384,75.7423,79.9122,0,0,20
2021-11-15,2,1048576,2048,16384,75.8606,79.9122,0,0,20
2021-11-15,1,1048576,1024,16384,74.0102,79.8343,0,0,20
2021-11-15,2,1048576,1024,16384,73.8475,79.8343,0,0,20
2021-11-15,1,1048576,512,16384,69.376,79.679,0,0,20
2021-11-15,2,1048576,512,16384,67.783,79.679,0,0,20
2021-11-15,1,1048576,256,16384,63.1125,79.3702,0,0,20
2021-11-15,2,1048576,256,16384,63.1429,79.3702,0,0,20
2021-11-15,1,1048576,128,16384,51.5058,78.7598,0,0,20
2021-11-15,2,1048576,128,16384,51.656,78.7598,0,0,20
2021-11-15,1,1048576,64,16384,39.0956,77.5666,0,0,20
2021-11-15,2,1048576,64,16384,38.9411,77.5666,0,0,20
2021-11-15,1,1048576,32,16384,26.2244,75.2855,0,0,20
2021-11-15,2,1048576,32,16384,26.2359,75.2855,0,0,20
2021-11-15,1,1048576,16,16384,16.5734,71.1034,0,0,20
2021-11-15,2,1048576,16,16384,16.5629,71.1034,0,0,20
2021-11-15,1,1048576,8,16384,8.86724,63.9938,0,0,20
2021-11-15,2,1048576,8,16384,8.86946,63.9938,0,0,20
2021-11-15,1,1048576,4,16384,4.72863,53.329,0,0,20
2021-11-15,2,1048576,4,16384,4.72667,53.329,0,0,20
2021-11-15,1,1048576,2,16384,2.50974,39.9976,0,0,20
2021-11-15,2,1048576,2,16384,2.50903,39.9976,0,0,20
2021-11-15,1,1048576,1,16384,1.25523,26.6672,0,0,20
2021-11-15,2,1048576,1,16384,1.25513,26.6672,0,0,20
2021-11-15,1,2097152,4096,32768,77.1715,79.9561,0,0,21
2021-11-15,2,2097152,4096,32768,77.0128,79.9561,0,0,21
2021-11-15,1,2097152,2048,32768,75.8321,79.9171,0,0,21
2021-11-15,2,2097152,2048,32768,75.9134,79.9171,0,0,21
2021-11-15,1,2097152,1024,32768,73.9058,79.8392,0,0,21
2021-11-15,2,2097152,1024,32768,73.8808,79.8392,0,0,21
2021-11-15,1,2097152,512,32768,68.5631,79.6839,0,0,21
2021-11-15,2,2097152,512,32768,68.5595,79.6839,0,0,21
2021-11-15,1,2097152,256,32768,63.0897,79.375,0,0,21
2021-11-15,2,2097152,256,32768,63.1003,79.375,0,0,21
2021-11-15,1,2097152,128,32768,51.5828,78.7645,0,0,21
2021-11-15,2,2097152,128,32768,51.6214,78.7645,0,0,21
2021-11-15,1,2097152,64,32768,39.0142,77.5712,0,0,21
2021-11-15,2,2097152,64,32768,39.0089,77.5712,0,0,21
2021-11-15,1,2097152,32,32768,26.2512,75.2898,0,0,21
2021-11-15,2,2097152,32,32768,26.2459,75.2898,0,0,21
2021-11-15,1,2097152,16,32768,16.568,71.1073,0,0,21
2021-11-15,2,2097152,16,32768,16.5627,71.1073,0,0,21
2021-11-15,1,2097152,8,32768,8.86727,63.9969,0,0,21
2021-11-15,2,2097152,8,32768,8.86754,63.9969,0,0,21
2021-11-15,1,2097152,4,32768,4.72705,53.3312,0,0,21
2021-11-15,2,2097152,4,32768,4.72751,53.3312,0,0,21
2021-11-15,1,2097152,2,32768,2.50902,39.9988,0,0,21
2021-11-15,2,2097152,2,32768,2.50921,39.9988,0,0,21
2021-11-15,1,2097152,1,32768,1.25511,26.6669,0,0,21
2021-11-15,2,2097152,1,32768,1.25507,26.6669,0,0,21
2021-11-15,1,4194304,4096,65536,77.0038,79.9585,0,0,22
2021-11-15,2,4194304,4096,65536,77.167,79.9585,0,0,22
2021-11-15,1,4194304,2048,65536,75.8321,79.9195,0,0,22
2021-11-15,2,4194304,2048,65536,75.8529,79.9195,0,0,22
2021-11-15,1,4194304,1024,65536,73.8403,79.8416,0,0,22
2021-11-15,2,4194304,1024,65536,73.8902,79.8416,0,0,22
2021-11-15,1,4194304,512,65536,67.9473,79.6863,0,0,22
2021-11-15,2,4194304,512,65536,67.9367,79.6863,0,0,22
